"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Area","Total Population"
"West Humber-Clairville",1.0,"N/A",30.09,32265.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",4.6,32130.0
"Thistletown-Beaumond Heights",3.0,"N/A",3.4,9925.0
"Rexdale-Kipling",4.0,"N/A",2.5,10725.0
"Elms-Old Rexdale",5.0,"N/A",2.9,9440.0
"Kingsview Village-The Westway",6.0,"N/A",5.1,21395.0
"Willowridge-Martingrove-Richview",7.0,"N/A",5.5,20920.0
"Humber Heights-Westmount",8.0,"N/A",2.8,10525.0
"Edenbridge-Humber Valley",9.0,"N/A",5.5,14450.0
"Princess-Rosethorn",10.0,"N/A",5.2,10965.0
"Eringate-Centennial-West Deane",11.0,"N/A",8.6,18535.0
"Markland Wood",12.0,"N/A",2.9,10240.0
"Etobicoke West Mall",13.0,"N/A",1.7,10680.0
"Islington-City Centre West",14.0,"N/A",16.4,32815.0
"Kingsway South",15.0,"N/A",2.6,8790.0
"Stonegate-Queensway",16.0,"N/A",7.9,23815.0
"Mimico",17.0,"N/A",6.9,24965.0
"New Toronto",18.0,"N/A",3.5,10655.0
"Long Branch",19.0,"N/A",2.3,9625.0
"Alderwood",20.0,"N/A",5.0,11655.0
"Humber Summit",21.0,"N/A",7.9,12770.0
"Humbermede",22.0,"N/A",4.4,14780.0
"Pelmo Park-Humberlea",23.0,"N/A",4.2,8725.0
"Black Creek",24.0,"N/A",3.4,21715.0
"Glenfield-Jane Heights",25.0,"N/A",5.2,30880.0
"Downsview-Roding-CFB",26.0,"N/A",14.9,32010.0
"York University Heights",27.0,"N/A",13.2,26140.0
"Rustic",28.0,"N/A",2.1,10040.0
"Maple Leaf",29.0,"N/A",2.5,10270.0
"Brookhaven-Amesbury",30.0,"N/A",3.5,17325.0
"Yorkdale-Glen Park",31.0,"N/A",5.9,14825.0
"Englemount-Lawrence",32.0,"N/A",3.6,21125.0
"Clanton Park",33.0,"N/A",4.2,13735.0
"Bathurst Manor",34.0,"N/A",4.8,14945.0
"Westminster-Branson",35.0,"N/A",3.7,24395.0
"Newtonbrook West",36.0,"N/A",4.7,20485.0
"Willowdale West",37.0,"N/A",2.9,12520.0
"Lansing-Westgate",38.0,"N/A",5.4,14440.0
"Bedford Park-Nortown",39.0,"N/A",5.5,21960.0
"St.Andrew-Windfields",40.0,"N/A",7.3,17555.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",8.8,8210.0
"Banbury-Don Mills",42.0,"N/A",10.0,25435.0
"Victoria Village",43.0,"N/A",4.7,17050.0
"Flemingdon Park",44.0,"N/A",2.5,21290.0
"Parkwoods-Donalda",45.0,"N/A",7.5,33835.0
"Pleasant View",46.0,"N/A",3.0,16615.0
"Don Valley Village",47.0,"N/A",4.1,26640.0
"Hillcrest Village",48.0,"N/A",5.3,18330.0
"Bayview Woods-Steeles",49.0,"N/A",4.1,13295.0
"Newtonbrook East",50.0,"N/A",4.1,15565.0
"Willowdale East",51.0,"N/A",5.0,41060.0
"Bayview Village",52.0,"N/A",5.2,15370.0
"Henry Farm",53.0,"N/A",2.6,11290.0
"O'Connor-Parkview",54.0,"N/A",4.9,17745.0
"Thorncliffe Park",55.0,"N/A",3.1,17945.0
"Leaside-Bennington",56.0,"N/A",4.8,15980.0
"Broadview North",57.0,"N/A",1.7,11590.0
"Old East York",58.0,"N/A",2.3,9025.0
"Danforth-East York",59.0,"N/A",2.2,16500.0
"Woodbine-Lumsden",60.0,"N/A",1.2,8050.0
"Taylor-Massey",61.0,"N/A",1.1,15210.0
"East End-Danforth",62.0,"N/A",2.6,20100.0
"The Beaches",63.0,"N/A",3.6,20420.0
"Woodbine Corridor",64.0,"N/A",1.6,11550.0
"Greenwood-Coxwell",65.0,"N/A",1.7,14700.0
"Danforth",66.0,"N/A",1.1,5450.0
"Playter Estates-Danforth",67.0,"N/A",0.9,7685.0
"North Riverdale",68.0,"N/A",1.8,12430.0
"Blake-Jones",69.0,"N/A",0.9,11890.0
"South Riverdale",70.0,"N/A",9.6,24430.0
"Cabbagetown-South St.James Town",71.0,"N/A",1.4,11120.0
"Regent Park",72.0,"N/A",0.6,10385.0
"Moss Park",73.0,"N/A",1.4,15480.0
"North St.James Town",74.0,"N/A",0.4,17110.0
"Church-Yonge Corridor",75.0,"N/A",1.4,24370.0
"Bay Street Corridor",76.0,"N/A",1.8,15320.0
"Waterfront Communities-The Island",77.0,"N/A",7.6,26025.0
"Kensington-Chinatown",78.0,"N/A",1.5,17090.0
"University",79.0,"N/A",1.4,5905.0
"Palmerston-Little Italy",80.0,"N/A",1.4,13775.0
"Trinity-Bellwoods",81.0,"N/A",1.7,16605.0
"Niagara",82.0,"N/A",3.1,14575.0
"Dufferin Grove",83.0,"N/A",1.4,11805.0
"Little Portugal",84.0,"N/A",1.2,12120.0
"South Parkdale",85.0,"N/A",2.3,21005.0
"Roncesvalles",86.0,"N/A",1.5,14650.0
"High Park-Swansea",87.0,"N/A",5.3,19980.0
"High Park North",88.0,"N/A",1.9,20970.0
"Runnymede-Bloor West Village",89.0,"N/A",1.6,9565.0
"Junction Area",90.0,"N/A",2.6,13175.0
"Weston-Pellam Park",91.0,"N/A",1.5,12095.0
"Corso Italia-Davenport",92.0,"N/A",1.9,14415.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",3.7,34725.0
"Wychwood",94.0,"N/A",1.7,14200.0
"Annex",95.0,"N/A",2.8,27480.0
"Casa Loma",96.0,"N/A",1.9,9810.0
"Yonge-St.Clair",97.0,"N/A",1.2,11230.0
"Rosedale-Moore Park",98.0,"N/A",4.6,20605.0
"Mount Pleasant East",99.0,"N/A",3.1,15215.0
"Yonge-Eglinton",100.0,"N/A",1.6,10500.0
"Forest Hill South",101.0,"N/A",2.5,10840.0
"Forest Hill North",102.0,"N/A",1.6,12295.0
"Lawrence Park South",103.0,"N/A",3.2,14820.0
"Mount Pleasant West",104.0,"N/A",1.3,23735.0
"Lawrence Park North",105.0,"N/A",2.3,13750.0
"Humewood-Cedarvale",106.0,"N/A",1.9,13915.0
"Oakwood Village",107.0,"N/A",2.2,21440.0
"Briar Hill-Belgravia",108.0,"N/A",1.8,14200.0
"Caledonia-Fairbank",109.0,"N/A",1.5,10280.0
"Keelesdale-Eglinton West",110.0,"N/A",1.7,11225.0
"Rockcliffe-Smythe",111.0,"N/A",5.1,22380.0
"Beechborough-Greenbrook",112.0,"N/A",1.8,6530.0
"Weston",113.0,"N/A",2.6,16470.0
"Lambton Baby Point",114.0,"N/A",1.7,7780.0
"Mount Dennis",115.0,"N/A",2.1,12840.0
"Steeles",116.0,"N/A",4.6,24705.0
"L'Amoreaux",117.0,"N/A",7.1,45865.0
"Tam O'Shanter-Sullivan",118.0,"N/A",5.5,27240.0
"Wexford/Maryvale",119.0,"N/A",10.2,26655.0
"Clairlea-Birchmount",120.0,"N/A",7.4,19855.0
"Oakridge",121.0,"N/A",1.8,13370.0
"Birchcliffe-Cliffside",122.0,"N/A",6.0,21655.0
"Cliffcrest",123.0,"N/A",7.1,14530.0
"Kennedy Park",124.0,"N/A",3.6,17035.0
"Ionview",125.0,"N/A",2.0,13030.0
"Dorset Park",126.0,"N/A",6.0,24365.0
"Bendale",127.0,"N/A",7.4,25490.0
"Agincourt South-Malvern West",128.0,"N/A",7.9,21565.0
"Agincourt North",129.0,"N/A",7.3,30160.0
"Milliken",130.0,"N/A",9.4,26265.0
"Rouge",131.0,"N/A",37.6,43180.0
"Malvern",132.0,"N/A",8.9,44315.0
"Centennial Scarborough",133.0,"N/A",5.4,12450.0
"Highland Creek",134.0,"N/A",5.1,12845.0
"Morningside",135.0,"N/A",5.6,28810.0
"West Hill",136.0,"N/A",9.6,25635.0
"Woburn",137.0,"N/A",12.2,40845.0
"Eglinton East",138.0,"N/A",3.2,22385.0
"Scarborough Village",139.0,"N/A",3.1,15585.0
"Guildwood",140.0,"N/A",3.8,10025.0
